	Years	KSMX	KEDW	KRBL	KSMO	KFUL	KLAX	PADK	PADQ	PANT	KNZY	KSNA	KLGB	KOXR	KVBG	KNUQ	KSFO	KOAK	KRIV	KAPC	KNJK	KAST	KSBA	KOTH	KSUU	KSNS	KLAS	KNUC	KRDD	KACV	KHHR	KTOA	KLVK	KSAN	KAVX	CYAZ	KMYF	KUKI	KCRQ	KMRY	KFHR	KSEE	KCEC	KSIT	PAHO	KNFG	KPSP	KNSI	KNRS	KSJC	KUIL	KFAT	KNTD	KBUR	PYAK	PACD	KNKX	KVNY
10	1960	24.18300653594771	0.0	N/A	N/A	N/A	23.366013071895424	N/A	N/A	N/A	N/A	N/A	N/A	N/A	44.11764705882353	14.869281045751634	15.522875816993464	24.18300653594771	8.006535947712418	N/A	N/A	39.869281045751634	24.673202614379086	33.82352941176471	N/A	27.450980392156865	N/A	N/A	N/A	50.81699346405229	N/A	N/A	N/A	26.307189542483663	N/A	N/A	N/A	N/A	N/A	38.23529411764706	N/A	N/A	N/A	42.97385620915033	11.27450980392157	N/A	N/A	30.198019801980198	32.6797385620915	N/A	N/A	0.0	32.84313725490196	N/A	60.94771241830066	68.95424836601308	N/A	N/A
11	1961	22.712418300653596	0.0	N/A	N/A	N/A	30.555555555555557	N/A	N/A	N/A	N/A	N/A	N/A	N/A	46.568627450980394	17.483660130718953	20.424836601307188	25.326797385620914	10.947712418300654	N/A	N/A	38.72549019607843	28.104575163398692	40.68627450980392	N/A	29.248366013071898	N/A	N/A	N/A	46.73202614379085	N/A	N/A	N/A	34.80392156862745	N/A	N/A	N/A	N/A	N/A	35.294117647058826	N/A	N/A	N/A	42.3202614379085	13.420621931260229	N/A	N/A	42.64462809917355	44.6078431372549	N/A	N/A	0.8169934640522877	44.28104575163398	N/A	58.16993464052288	75.65359477124183	N/A	N/A
12	1962	28.431372549019606	0.0	N/A	N/A	N/A	33.66013071895425	N/A	N/A	N/A	N/A	N/A	N/A	N/A	54.41176470588235	17.15686274509804	23.692810457516337	28.921568627450984	12.418300653594772	N/A	N/A	45.91503267973856	29.248366013071898	36.60130718954248	N/A	36.43790849673202	N/A	N/A	N/A	48.8562091503268	N/A	N/A	N/A	36.27450980392157	N/A	N/A	N/A	N/A	N/A	47.22222222222222	N/A	N/A	N/A	50.0	15.359477124183007	N/A	N/A	42.810457516339866	48.69281045751634	N/A	N/A	0.6535947712418301	43.790849673202615	N/A	59.150326797385624	67.81045751633987	N/A	N/A
13	1963	28.431372549019606	1.1437908496732025	N/A	N/A	N/A	27.941176470588236	N/A	N/A	N/A	N/A	N/A	N/A	N/A	45.751633986928105	16.013071895424837	18.137254901960784	24.019607843137255	13.071895424836603	N/A	N/A	36.76470588235294	29.411764705882355	33.77049180327869	N/A	30.22875816993464	N/A	N/A	N/A	48.8562091503268	N/A	N/A	N/A	34.150326797385624	N/A	N/A	N/A	N/A	N/A	38.0718954248366	N/A	N/A	N/A	39.21568627450981	12.581699346405228	N/A	N/A	38.95253682487725	42.48366013071895	N/A	N/A	0.32679738562091504	35.78431372549019	N/A	55.88235294117647	81.37254901960785	N/A	N/A
14	1964	26.633986928104576	0.32679738562091504	N/A	N/A	N/A	28.921568627450984	N/A	N/A	N/A	N/A	N/A	N/A	N/A	46.568627450980394	15.032679738562091	21.73202614379085	24.34640522875817	8.660130718954248	N/A	N/A	43.30065359477124	25.0	35.914332784184516	N/A	29.901960784313726	N/A	N/A	N/A	43.627450980392155	N/A	N/A	N/A	33.49673202614379	N/A	48.69281045751634	N/A	N/A	N/A	39.705882352941174	N/A	N/A	N/A	46.568627450980394	12.418300653594772	N/A	N/A	38.88888888888889	44.93464052287582	N/A	N/A	0.32679738562091504	35.78431372549019	N/A	51.143790849673195	76.1437908496732	N/A	N/A
15	1965	26.143790849673206	0.0	N/A	N/A	N/A	33.82352941176471	N/A	N/A	N/A	N/A	N/A	N/A	N/A	46.73202614379085	17.483660130718953	22.385620915032682	26.96078431372549	14.052287581699346	N/A	N/A	46.89542483660131	N/A	35.3518821603928	N/A	N/A	N/A	N/A	N/A	53.59477124183007	N/A	N/A	N/A	35.45751633986928	N/A	43.627450980392155	N/A	N/A	N/A	41.50326797385621	N/A	N/A	N/A	N/A	18.4640522875817	N/A	N/A	43.4640522875817	48.8562091503268	N/A	N/A	N/A	44.44444444444444	N/A	62.908496732026144	N/A	N/A	N/A
16	1966	27.287581699346404	0.0	N/A	N/A	N/A	26.797385620915033	N/A	N/A	N/A	N/A	N/A	N/A	N/A	46.03960396039604	12.833333333333332	18.627450980392158	21.568627450980394	9.477124183006536	N/A	N/A	34.64052287581699	N/A	26.47058823529412	N/A	N/A	N/A	N/A	N/A	37.41830065359477	N/A	N/A	N/A	34.150326797385624	N/A	44.93464052287582	N/A	N/A	N/A	34.150326797385624	N/A	N/A	N/A	N/A	18.330605564648117	N/A	N/A	39.21568627450981	40.849673202614376	N/A	N/A	N/A	39.54248366013072	N/A	61.76470588235294	N/A	N/A	N/A
17	1967	28.75816993464052	0.49019607843137253	N/A	N/A	N/A	29.901960784313726	N/A	N/A	N/A	N/A	N/A	N/A	N/A	52.373158756137485	15.849673202614378	17.81045751633987	24.18300653594771	13.562091503267974	N/A	N/A	38.88888888888889	N/A	30.555555555555557	N/A	N/A	N/A	N/A	N/A	57.6797385620915	N/A	N/A	N/A	37.41830065359477	24.086378737541526	45.751633986928105	N/A	N/A	N/A	43.13725490196079	N/A	N/A	N/A	N/A	11.947626841243862	N/A	N/A	41.830065359477125	49.50980392156863	N/A	49.673202614379086	N/A	47.549019607843135	N/A	63.23529411764706	N/A	N/A	N/A
18	1968	22.058823529411764	0.16339869281045752	N/A	N/A	N/A	27.61437908496732	N/A	N/A	N/A	N/A	29.81260647359455	N/A	N/A	42.97385620915033	18.30065359477124	21.405228758169933	24.058919803600652	12.418300653594772	N/A	N/A	39.052287581699346	N/A	35.78431372549019	N/A	N/A	N/A	N/A	N/A	48.03921568627451	N/A	N/A	N/A	31.699346405228756	N/A	38.0718954248366	N/A	N/A	N/A	37.58169934640523	N/A	N/A	N/A	N/A	11.129296235679215	N/A	N/A	33.82352941176471	40.032679738562095	15.894039735099339	47.22222222222222	N/A	37.908496732026144	N/A	48.529411764705884	N/A	N/A	N/A
19	1969	32.6797385620915	0.32679738562091504	N/A	N/A	N/A	41.17647058823529	N/A	N/A	N/A	N/A	39.965397923875436	N/A	N/A	55.88235294117647	17.81045751633987	19.77124183006536	24.673202614379086	18.627450980392158	N/A	N/A	42.64705882352941	N/A	37.745098039215684	N/A	N/A	N/A	N/A	N/A	52.450980392156865	N/A	N/A	N/A	41.17647058823529	N/A	37.091503267973856	N/A	N/A	N/A	44.28104575163398	N/A	N/A	N/A	N/A	10.69078947368421	N/A	N/A	43.4640522875817	44.44444444444444	16.39072847682119	51.9607843137255	N/A	52.614379084967325	N/A	57.02614379084967	79.90196078431373	N/A	N/A
