	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.07129729695576686	-0.11829187662177841	0.5335654582850526	0.36904032245438867
1	CYAZ	-0.3679843577259262	-0.3214167040657126	0.08328045832292764	-0.4198727385105571
2	KACV	-0.14976505585412786	-0.11146287296593922	0.5576080672302264	-0.2058489501875099
3	PAHO	-0.19962906755738571	-0.32239371892506363	0.08229435208339574	-0.3070167748421523
4	KLGB	-0.5510535243317866	-0.4200605316123316	0.020828549317775735	-0.184777173024391
5	KNUC	-0.5161439110287686	-0.31032742836297167	0.11516714121977395	-0.12029020987917285
6	KNTD	-0.36280020741828534	-0.25617385127548886	0.17180409054172824	-0.058794379971295836
7	KNZY	-0.5597328663875771	-0.4285085169045007	0.018149191228704575	-0.1209720279822818
8	PACD	-0.5575006164777628	-0.3652079112626911	0.06656880973758429	-0.44985847212324565
9	PANT	-0.9481143698112711	-0.6253648347098607	0.0018560128866972443	-0.21768156720581078
10	KMRY	-0.3153751712359772	-0.21604548028815232	0.2603259604472548	-0.13783830469305178
11	KLAX	-0.6811323327604204	-0.4653001616770852	0.009569649595891332	-0.08633435317731036
12	KAST	-0.46947215015387955	-0.40866635793440187	0.02495026203712685	-0.2135111720663801
13	KSAN	-0.5845091547867486	-0.4366267914999547	0.01584955816815636	-0.16222073174211363
14	KNSI	-0.3038757506625338	-0.18882613019664263	0.3265960556823062	-0.12003219228909547
15	KSFO	-0.109811284411835	-0.10075479646113841	0.5962791797873268	-0.2030158239433884
16	KSIT	-0.31363750739032786	-0.21387660247274173	0.35189200901901696	-0.5963963167380081
17	PYAK	-0.2592116318464535	-0.18967534254308085	0.31542609027386426	-0.3754172740030139
18	KOAK	-0.011238732626276145	-0.01012492704728305	0.9576511836590746	-0.17959292709964522
19	KOTH	0.0558426630224951	0.045229135408860484	0.8124046794678896	0.0750872243555897
20	PADQ	-0.26971251133029517	-0.1538839625722343	0.41685148723562115	-0.17848409671624818
21	KVBG	-0.37046526915881045	-0.235631326464051	0.21002148361881012	-0.19966533338344833
