	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.12137912706645994	-0.15873185832899325	0.40214401007660083	0.04174773078943598
1	CYAZ	-0.15645478725573	-0.1682827261935685	0.3740459344884687	0.024624153223067723
2	KACV	-0.3922445087848063	-0.2989064920538265	0.10859502351493433	-0.2656431010938998
3	PAHO	-0.07745038516973483	-0.11203222083292551	0.5555847051739079	-0.07049330437478223
4	KLGB	-0.20906963998906591	-0.20678653601014688	0.2729066424863402	-0.37582933305056837
5	KNUC	-0.29713936403982605	-0.19343069451979317	0.3240206933145592	-0.5341472854925483
6	KNTD	0.12131775928551591	0.08725754935036759	0.6465950105467395	-0.2673996036683991
7	KNZY	0.015412987358556654	0.01229592511067915	0.9485815463652065	-0.1103443218872441
8	PACD	-0.42332554702957853	-0.36946684151830805	0.06322402781507165	-0.35233232540391857
9	PANT	-0.40057648144963437	-0.49408028539131693	0.022813215951878647	-0.24508553644490022
10	KMRY	-0.546876708922692	-0.4109718540018868	0.02678114993446585	-0.5284408948493186
11	KLAX	-0.11604489969441867	-0.10343752981525225	0.5864829637456612	-0.29809592012255126
12	KAST	-0.30985889190552196	-0.32911965061397447	0.07574671013161124	-0.10879429713149458
13	KSAN	-0.060683502405031065	-0.0541566388497653	0.7762322243725761	-0.1954413643762595
14	KNSI	-0.31414560861401425	-0.20282718758263527	0.29132011589322754	-0.40021965573556534
15	KSFO	-0.27886626258963454	-0.31697334393103166	0.08787967676560872	-0.38271147665967226
16	KSIT	0.5894200635723718	0.43175828066687305	0.05730963348463418	-0.09990052003914178
17	PYAK	0.016496670676462988	0.011935336063060404	0.9500875497152736	-0.05701388746291063
18	KOAK	-0.12627464849686307	-0.15256066362642112	0.4209175270850499	-0.22890168888282078
19	KOTH	-0.3716839295857186	-0.3628973524569851	0.04872530082936102	0.0006497940364529195
20	PADQ	0.2679281431892359	0.16189063756786928	0.3927214986815122	0.048991661269528246
21	KVBG	-0.2950268861767264	-0.20114698831328853	0.28648919174554144	-0.3864810112920023
