	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.10338621572148249	-0.11349054383888799	0.5504175969017548	0.03673388672912257
1	CYAZ	-0.10227172776564902	-0.10156268194683891	0.5933217126004798	-0.1004825005107745
2	KACV	-0.3208293422789112	-0.2622135964511702	0.16157026679489123	-0.20650245173765056
3	PAHO	-0.44991679390534295	-0.5443984848801495	0.0018699128598195585	-0.3190063752124566
4	KLGB	-0.2038193546035426	-0.18770779089549933	0.32056517090804093	-0.18200563870663294
5	KNUC	-0.494716929498324	-0.3493966543655442	0.0740352305677511	-0.4915217594127741
6	KNTD	-0.4425878123287833	-0.3197805723700303	0.08495203899259744	-0.22468169722439113
7	KNZY	-0.10898469577784405	-0.0823709254447087	0.6652108253093076	-0.09256493108447449
8	PACD	-0.7507371951151899	-0.5104126852970946	0.007717368753302572	-0.4292187533159362
9	PANT	-1.0703378210844712	-0.741693123590811	0.00011899196351097234	-0.21947053563981855
10	KMRY	-0.4439293435387517	-0.3315060252722212	0.07896046704480761	-0.4351898241205955
11	KLAX	-0.4081492201873545	-0.33637147164805764	0.06914512893994483	-0.20624349993233562
12	KAST	-0.3452734143399934	-0.35620549160121234	0.05335646252227928	-0.3859085507793014
13	KSAN	-0.1501116612911364	-0.11742764313625956	0.5365805293871362	-0.1556245572274208
14	KNSI	-0.42648880551712975	-0.2809218436305828	0.13989561089007033	-0.29965161639184346
15	KSFO	-0.11851272589833206	-0.15462104930141585	0.4145962052596388	-0.31384762239948344
16	KSIT	-0.34910585921383863	-0.15979207284852845	0.5009835616178919	-0.3315454481113263
17	PYAK	-0.5596259361990727	-0.37541448493441043	0.04092234616225617	-0.219986155106632
18	KOAK	0.12911155522547768	0.16948861029125237	0.3705819646844051	-0.13290897549607555
19	KOTH	0.1256906073947955	0.1344767071079268	0.4867459110064377	-0.005871041271686408
20	PADQ	-0.21497913407605657	-0.13353890730649734	0.48174164600227565	-0.16307095803744293
21	KVBG	-0.525493348240916	-0.35846695420900493	0.0517540843828671	-0.33583905820481874
