	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.019827592380317	0.021236788598562244	0.9233785523812501	-0.05430307691962217
1	CYAZ	0.061193046870096496	0.13309830706619502	0.48320192668925144	-0.5203996394811855
2	KACV	-0.15269040882087975	-0.22915931999868433	0.2231806513198243	-0.4700092126411364
3	PAHO	-0.019361120336875447	-0.14585695044440597	0.4418506003722391	-0.05901791186771676
4	KLGB	-0.12860132174119113	-0.44223347673257296	0.01440711146117582	-0.30228181386944064
5	KNUC	-0.09420834484570781	-0.11388054102568945	0.5878047296055624	-0.41396433880867817
6	KNTD	-0.34093067157530255	-0.3937322058355531	0.0313393979926511	-0.3149526451276379
7	KNZY	-0.33111585856816494	-0.5715401963366544	0.0009696676462507426	-0.32971270787277
8	PACD	-0.4283278843038569	-0.5345673866760651	0.0023407597241737106	-0.17392490081104583
9	PANT	0.015141749486627092	0.034701718520929965	0.8581670631317053	-0.4997087103387854
10	KMRY	-0.24191274520231257	-0.43186344246838754	0.017167471568385113	-0.4014922887774581
11	KLAX	-0.16233638793460517	-0.3384064814829539	0.06737531949089227	-0.5287996495905626
12	KAST	-0.09938810571604835	-0.2477414788769466	0.18684659349981866	-0.2698901850536114
13	KSAN	-0.18114932285856433	-0.45701378012253885	0.01268965175289156	-0.3982131581631893
14	KNSI	-0.0728195029893951	-0.10080898574222376	0.681341310839951	-0.3852553602281533
15	KSFO	-0.05563781878127246	-0.18570909982922243	0.3258382164956046	-0.48977532599039797
16	KSIT	-0.19458678563533172	-0.4048578021036769	0.032589974345279535	-0.14637333694971255
17	PYAK	-0.3256882269599428	-0.4442509664804634	0.013915596261539183	-0.08340145796257492
18	KOAK	0.07336128595081415	0.1914147159747434	0.31092584973626497	-0.2578588204181169
19	KOTH	0.040522252321794634	0.0713795151890956	0.7289611628638122	-0.25974842783618635
20	PADQ	-0.3482704340330134	-0.6050328168752301	0.00039717651794274	-0.05107584511303572
21	KVBG	-0.15143499646603328	-0.20784252483738141	0.27929607611503293	-0.5505888249923997
