	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.046657035995189486	0.04778587089664855	0.8020030760621791	-0.016789725064700167
1	CYAZ	-0.6579724180409549	-0.45895883012578287	0.024074707428054655	-0.10609587039441205
2	KACV	-0.36855321574911015	-0.3069297072444771	0.09898664240550221	-0.25020282076981404
3	PAHO	0.037698203953293596	0.04363583345155441	0.8189027130490866	-0.36679785990773306
4	KLGB	-0.7013249690494234	-0.5415316749302117	0.0019978692443571554	-0.25299977062953
5	KNUC	-0.35264462178181183	-0.22015244420016877	0.30127703396397637	-0.16560763983879376
6	KNTD	-0.47616635845891514	-0.34825698240580505	0.05930118948403222	-0.1158993657644073
7	KNZY	-0.2210526574733011	-0.198131396208131	0.2939260383979494	-0.17230077379479403
8	PACD	-0.5075151613513743	-0.4607858159851388	0.023446544863698716	-0.5628284670241115
9	PANT	-0.1066870041515845	-0.11478213363671415	0.6110071599546761	-0.19473246312345713
10	KMRY	-0.38124617023556323	-0.45603320425350113	0.012906578932064077	-0.22504363463455843
11	KLAX	-0.4640241035583043	-0.37410593770762907	0.04168792639931711	-0.07362856943310744
12	KAST	-0.5682914930065902	-0.5341891182490978	0.0023607582118706084	-0.13565148208668779
13	KSAN	-0.3084800930443509	-0.27124748300267554	0.14708676918115635	-0.22503553245905686
14	KNSI	-0.5097449052470445	-0.36765571691712823	0.04563072985636925	-0.1685450354954554
15	KSFO	-0.09270887993108737	-0.12488468672746879	0.510834897643436	-0.16889312004261722
16	KSIT	0.3887021766355607	0.27960447253419846	0.21962863698465188	-0.06770035502112398
17	PYAK	0.19938205518157753	0.14144052371823881	0.45594311300939716	-0.07129939736649625
18	KOAK	-0.08796503490987614	-0.141209140591907	0.45668796529345057	-0.03909998291599483
19	KOTH	-0.42908639993242165	-0.3995941611326316	0.028689548414619324	-0.22191840988081074
20	PADQ	0.021420424247488978	0.016535007498718654	0.9308913620801511	-0.0813955817418895
21	KVBG	-0.8136842796909142	-0.3619798120051589	0.15336144872782947	-0.1628660521634126
