	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.07335859085891211	0.1293387460550777	0.5036930605046146	0.20846095669146342
1	CYAZ	-0.1781149472559672	-0.318786521905017	0.08598007592674932	-0.2637194876339957
2	KACV	-0.16180434361342927	-0.3298381084038537	0.07507177068537407	-0.3347819778906205
3	PAHO	-0.2517189735037325	-0.4369969522075637	0.015750764946493422	-0.10155032128147318
4	KLGB	-0.1277572560657149	-0.2839018204413244	0.1284103342014994	-0.30722137900210506
5	KNUC	-0.09657338447517827	-0.14928626947024407	0.4763264710285887	-0.3126828020421431
6	KNTD	-0.18189537120469593	-0.263190989646082	0.15995597500262207	-0.3302183084901595
7	KNZY	-0.12435595654185118	-0.2746770354752445	0.1418419854525467	-0.3882656214693486
8	PACD	-0.8834747213642637	-0.7429688474708761	5.943607469221399e-06	-0.5340964026541123
9	PANT	-1.011325880400567	-0.8701636782505858	6.848299467589956e-08	-0.34862890227546156
10	KMRY	-0.18299325842237657	-0.37391957794221725	0.04569542954232123	-0.44480712320480187
11	KLAX	-0.2240971874673644	-0.4158281457177324	0.022288631478138178	-0.4063299328682366
12	KAST	-0.1835898169537556	-0.388040943151463	0.034098573317098264	-0.2059156157370012
13	KSAN	-0.1248714246968495	-0.2664922317799935	0.1622937202948394	-0.44878273738351865
14	KNSI	0.044033353174092696	0.08257635107962762	0.7012747459761446	-0.3229961446890618
15	KSFO	-0.003458277997168321	-0.011038004472872152	0.9538359837318463	-0.154798511616037
16	KSIT	-0.6975619075738411	-0.5674152909504085	0.005884082161748491	-0.4880548798698198
17	PYAK	-0.6645632576303551	-0.5790760126179004	0.0007998746034023796	-0.297676857755993
18	KOAK	0.15747246944537394	0.3941435570403744	0.031147202743456982	-0.004620119271162139
19	KOTH	0.339775176503433	0.4472695316954742	0.019326159209510217	0.04819709369206748
20	PADQ	-0.3169908628420392	-0.43629585713429736	0.015938317510040746	-0.3506060462732919
21	KVBG	-0.10585405896256994	-0.1979274806296535	0.40288152208690275	-0.2466455879051554
