	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.12643996786028688	-0.09685149221429581	0.6762129440274062	0.03538036240379519
1	CYAZ	-0.18134447168470516	-0.1563424393268342	0.40935587487326053	0.02203083717431326
2	KACV	-0.16318368531046842	-0.16102797546038455	0.39528213973720217	0.07026056423759354
3	PAHO	-0.5697508516571066	-0.7191076180607628	7.56549104200507e-06	-0.15986730674358274
4	KLGB	0.0038401352611818476	0.004294768663448853	0.9820300307074912	-0.20804288271183694
5	KNUC	-0.11607867055999402	-0.08153677825565488	0.6859891725343427	-0.1996429847920815
6	KNTD	-0.5868332207658051	-0.3872103050178564	0.034517190013740526	0.0870536759500588
7	KNZY	-0.10270672462778134	-0.07905742326114507	0.6779465452244156	-0.17884987105926747
8	PACD	-0.7298232364247809	-0.5194636590690218	0.0032631659874693833	-0.11961019768280849
9	PANT	-0.5693532756552876	-0.4567539379826171	0.01117135798600082	-0.43035328212413115
10	KMRY	-0.38318549805210317	-0.2550830110676329	0.17370021022285675	-0.32410390444789067
11	KLAX	-0.20941682353063115	-0.17935098875047528	0.3429643280660857	-0.21610098282545745
12	KAST	-0.5086048359096924	-0.4869092777808251	0.006358267590572204	-0.2956938168502342
13	KSAN	-0.15441374984393222	-0.11815723009779855	0.5340346698891811	-0.17206105928902343
14	KNSI	-0.1828326389226402	-0.1030248854593631	0.6655758776156033	-0.15976197463598976
15	KSFO	-0.18426799846009126	-0.22430774215353164	0.2334032467763019	-0.20052501798840586
16	KSIT	-1.113323949999321	-0.6255994222320793	0.0002181771659416891	-0.254140977377973
17	PYAK	-1.1654829229296633	-0.6327492765042164	0.00017539027500509076	-0.12600586722193616
18	KOAK	-0.05178321804872218	-0.05519666877739082	0.7720463716421218	-0.04945591488004146
19	KOTH	-0.27059674340766704	-0.23656544981892455	0.22550846531789276	0.2200532360652466
20	PADQ	-0.8136267868236436	-0.4512947313076423	0.012307803722422996	0.15805992511408237
21	KVBG	-0.46503200342661427	-0.3127551850206705	0.09242252793973552	-0.27391421799995563
