	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.21029286341554437	-0.19202589851515758	0.3686965212710501	-0.215623881293449
1	CYAZ	0.06190464368547268	0.13457340982433597	0.4783219358641583	-0.4807861015572334
2	KACV	-0.2481033015491832	-0.3506951956142448	0.057424936660274324	-0.4947550785441849
3	PAHO	-0.020880365960300542	-0.15718671342937834	0.40679937776169883	-0.0657496506723845
4	KLGB	-0.1108925159541564	-0.3802711342404591	0.038178781525533015	-0.2844745249304165
5	KNUC	-0.13493077864587583	-0.16315459056475395	0.43583153463496416	-0.39339680687407846
6	KNTD	-0.26513690808407886	-0.30105235602599834	0.10595952715919227	-0.2753183076873043
7	KNZY	-0.28410410548257653	-0.49674365931199876	0.005232928755782871	-0.3323793976409464
8	PACD	-0.44242860579687965	-0.544515443987001	0.00186484710350636	-0.24487911463035916
9	PANT	-0.031231234292342543	-0.07158387757594803	0.7173658496526936	-0.49429947545320985
10	KMRY	-0.26190333997957604	-0.4445617060071787	0.015682417188244147	-0.4071690438113933
11	KLAX	-0.15674239618221547	-0.32614940964447947	0.07858681226228455	-0.5046915572771704
12	KAST	-0.09502852467488804	-0.23842842745614598	0.20450207611114307	-0.32199879823736044
13	KSAN	-0.14079576952549805	-0.3447015618143539	0.06706997416990279	-0.3460219110447269
14	KNSI	0.014320690908514304	0.020579041732243307	0.9313749956344776	-0.24881234223824977
15	KSFO	-0.0064479482935976135	-0.021562348090123678	0.9099541035636476	-0.46161767660031205
16	KSIT	-0.20033038535867373	-0.3965267065371594	0.04058669326225613	-0.15965011744316063
17	PYAK	-0.40322193700218434	-0.5075698087217558	0.004195062238436173	-0.16007781694049258
18	KOAK	0.10026144951197702	0.253083638688782	0.17721382786020057	-0.1928664364605098
19	KOTH	0.040068304090738006	0.06896613562316622	0.7378034437386776	-0.2645386091031481
20	PADQ	-0.4025500298184045	-0.6598748056084912	7.275234846569485e-05	-0.11717266719270304
21	KVBG	-0.15571245832048644	-0.21381345403501176	0.26540226842988607	-0.5202417093988212
