	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.36388246700909027	-0.4482115250755135	0.041574711057831955	0.35353137812040714
1	CYAZ	0.1269059921387652	0.10830875864741875	0.5688781900883841	-0.2851632381700537
2	KACV	0.2874674571894705	0.1990333884067469	0.29168889872095327	-0.31657960418410713
3	PAHO	-0.02079392408503293	-0.03673000035520015	0.8471979443394775	-0.26573195618233936
4	KLGB	0.2087415649641892	0.29405826390221435	0.11472956373355689	0.08453464134028843
5	KNUC	-0.03398268017214342	-0.02426842882522541	0.9005560465010425	-0.06497963080089662
6	KNTD	0.1703603649349484	0.12137634339777181	0.5228710601177127	-0.15230385096496835
7	KNZY	0.15261668261441458	0.16794082024609225	0.37503151212048746	-0.10877818132017839
8	PACD	-0.46352196080897323	-0.37791998840142604	0.039487902146824246	-0.271175579492492
9	PANT	0.4643787881953114	0.3476306205367237	0.06988883664326635	-0.4400854983105388
10	KMRY	0.27958058063705016	0.2562692619728548	0.17163894489933362	-0.5451180083415228
11	KLAX	0.11238790952706813	0.15257172765428378	0.4208834402141418	-0.10225477896975177
12	KAST	0.30076529091474313	0.2748493791700959	0.14158205376916194	-0.28739571861900354
13	KSAN	0.22494429655478818	0.28751772304126083	0.13044120438773776	0.00027088463176234436
14	KNSI	0.054826813602816826	0.03448619749485288	0.8919413248346308	-0.18561363017269494
15	KSFO	0.11080567548970298	0.15454965585182906	0.4148143507240766	-0.13597750504877448
16	KSIT	-0.06406066305913974	-0.055170625844235904	0.7721511117608769	-0.19264889191614198
17	PYAK	0.2816193695444439	0.2068675875799183	0.27271452284253195	-0.29466154026359
18	KOAK	0.2020601481572631	0.3284526705257839	0.07637746929777728	-0.2116191554989561
19	KOTH	0.021426367057048378	0.017818935055876815	0.9282895829433561	-0.14957473531522014
20	PADQ	0.03746405671693731	0.027974048784251	0.8833387726412724	-0.19478551612630654
21	KVBG	0.1943622058832906	0.18089665228512336	0.33875179819141155	-0.22586895720357783
