	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.1914769797914398	0.17701412049250068	0.3972892412822786	0.16662528019744652
1	CYAZ	-0.1427542519902625	-0.12242557859668002	0.5192570524340008	0.003203513642729395
2	KACV	-0.17472856653421912	-0.12617371681703876	0.5064472488369983	-0.06378779698065806
3	PAHO	-0.20264480230952592	-0.24122122019556766	0.1990914823211639	0.3761324711449822
4	KLGB	-0.33043287055870807	-0.3259919904005146	0.07873958763297828	-0.2988393331717341
5	KNUC	-0.26874178594046144	-0.1395577995198568	0.48751974683280486	-0.06870832997062803
6	KNTD	-0.4993053827752151	-0.31043264931131787	0.09499874423606258	-0.1277218217361017
7	KNZY	-0.36247374448285835	-0.333923557096986	0.07132160614089166	-0.17177762915283587
8	PACD	-0.9874787023483554	-0.5764463058515181	0.0008559014492840301	0.09948518364217093
9	PANT	-0.5392754551294091	-0.5300456826294858	0.003718097488821399	0.0175810597043824
10	KMRY	-0.12215288772396177	-0.09319896249007131	0.6306132779678988	-0.169308650639936
11	KLAX	-0.30981650216470097	-0.22102558851975893	0.24049416132280066	-0.31560083124867805
12	KAST	0.17142014539800138	0.1398473897614114	0.4610846865028444	0.12057356733250678
13	KSAN	-0.5129890875627664	-0.4578011693106366	0.01096374756171621	-0.19243272145816434
14	KNSI	-0.3200618487209812	-0.20375604809825693	0.33958836906957923	-0.0759548107379728
15	KSFO	0.06903727106963563	0.08863917132761641	0.6413687506421046	0.004081322786129296
16	KSIT	-0.30553318274414876	-0.17886929680159855	0.36244823779870583	0.00019578784347343986
17	PYAK	-0.3984456870188656	-0.22012977269567144	0.24245417228293226	0.05200443872518152
18	KOAK	0.0624498545596838	0.06124527286494448	0.7478298646614454	-0.12184434538357702
19	KOTH	0.1706500606150213	0.11188816701562809	0.5560963266850774	0.270120520213313
20	PADQ	-0.47216407794622045	-0.35725144273304216	0.052610546987249374	0.33588539885296587
21	KVBG	0.06355013807495338	0.0389265035003939	0.8411048238913881	-0.06324123440227775
