	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.013544030497480977	-0.026162643063529306	0.8908466695363819	0.3659806457517595
1	CYAZ	-0.04031075164332059	-0.03336856716375726	0.8741851199987982	-0.24279215606693438
2	KACV	0.11279426403862017	0.08229953871214295	0.6654842614234173	-0.17345391915357614
3	PAHO	-0.27885651720801097	-0.3865431437933057	0.03485641472315399	-0.4216616636277278
4	KLGB	-0.28750879818228625	-0.23630590721096442	0.20868113230277396	-0.1781374324364896
5	KNUC	-0.8796591945454391	-0.44462154338066345	0.033527279991080475	-0.06276957777981126
6	KNTD	0.015461633390190334	0.010403038787598191	0.9564890214696493	-0.13124842814105922
7	KNZY	-0.06614560569606774	-0.049995590206803345	0.7930398197930334	-0.11319185418629092
8	PACD	-0.27692802262881844	-0.2544967978913863	0.2195687030009445	-0.2890984619454466
9	PANT	-0.2643990730004702	-0.2579968314889538	0.24636137772223343	-0.08869647828562699
10	KMRY	-0.025451159897887633	-0.017171911269673754	0.9295490467629556	-0.16924238784674156
11	KLAX	-0.16110766985452157	-0.11477829401885943	0.5458735395876182	-0.10881083933543327
12	KAST	-0.04325958520853584	-0.03805002740013495	0.841773867387427	-0.09956484919342236
13	KSAN	-0.09579662337245981	-0.07430438010845217	0.696367393370317	-0.15239972507290883
14	KNSI	-0.1217742473316444	-0.06905267472940278	0.7269762865391831	-0.2129968450312114
15	KSFO	0.03358917700830676	0.029889687107440405	0.8754096295005981	-0.15125062893324276
16	KSIT	0.20344594535410446	0.1760336283118987	0.445295502578127	-0.16173597048081428
17	PYAK	-0.13430297246946363	-0.09963705890080798	0.6003813672573801	-0.14671936492359403
18	KOAK	-0.040162442859435495	-0.033936940306344456	0.858697101721055	-0.20080014695174547
19	KOTH	0.06439461982755651	0.05334391074261124	0.7795075337982659	-0.0026443358956189248
20	PADQ	-0.22831984867134544	-0.14342162132102096	0.44959222051776493	-0.08869321944533586
21	KVBG	0.09855119921993956	0.0554270295728253	0.7836311425921478	-0.30536278579494885
