	1_average	CYAZ	KACV	KAST	KLAX	KLGB	KMRY	KNTD	KNZY	KOAK	KOTH	KSAN	KSFO	KVBG	PACD	PADK	PADQ	PAHO	PANT	PSIT	PYAK
1950	43.78114190197103		51.525968329761156	42.2915019132778	38.49710852082768	36.81312636235826	41.31744562498484	50.58085421155886	45.45387896560916	26.16129032258064	32.2005542953145	42.878835562549185	20.33333333333332		74.37634408602153	85.06451612903226	56.55913978494624	13.459218463152371	43.82809252733352	27.4462365591398	59.273109243697505
1951	45.93654885316577		60.23337494643092	53.21328656040578	31.535356300814918	31.86231091671222	56.0332604337525	41.87701190710156	36.56729447310782	35.079901701740695	38.98017764613196	34.04938380785692	30.709030298473117		74.11870940076355	85.2155782848151	56.41444855968748	9.718847424648473	38.106915326127556	45.66508198732518	67.47790938108794
1952	40.622785410416256		54.0069260241674	47.25347622810714	27.930026583346983	25.45165652467884	37.98620852696806	37.63972643525944	31.54107862747164	26.160755832132942	39.01271413962194	26.65989858095122	20.999377540459882		66.62030820986715	84.63143688712069	46.98973934793542	13.09164310037939	37.222748439313634	45.794464262568724	62.21795209714212
1953	37.970770158242765		45.17010230569552	40.16258095038728	27.4771727778789	23.57927270928512	38.787494450133025	31.335387779281895	31.027225768390302	21.89984571292982	33.93574856652102	28.12677044854674	24.45828536886614		62.96017378462864	83.67599930299862	40.114590750861815	12.360182840485063	36.92416030900578	43.48425974888244	57.99460927359176
1954	39.24724632478029		45.36200297423146	37.37064716659532	35.01591054415564	34.19085522511312	34.16673704425358	43.9363260924806	42.084732229722476	23.00477015228618	33.97681562333002	39.28903526308776	20.797185779183987			82.82573782607997	50.27914146976302	13.985376284748572	39.872500724427695	40.80729895053575	50.23811417126988
1955	41.0168515971712		49.65819435000408	43.3610643256187	32.42039813843452	31.466852888018042	42.81900629167204	41.038504979879335	37.7884629708156	24.212979672935838	37.42475979764116	33.12746268895704	19.43420274159696			83.49370574350905	52.43555004285338	20.584591995933337	43.3151962749132	36.58682357777894	68.11872067134914
1956	41.67079009478495		47.76365606322626	43.90522511785992	26.23907494527466	25.412654271942362	40.05393708139882	38.71687479480264	28.314237026952917	23.68390273392902	36.21621210694038	27.02117476770788	21.477214362422362		81.11603136342002	86.86673057881036	52.87033381393418	23.06937022817874	43.85507292809524	46.89446132978162	56.5980581914518
1957	37.93950576035466		44.83553546083724	35.46066828402754	23.2571633918688	24.970545687985442	34.19027398261918	25.84678870958868	35.55184817772474	24.79631065224286	29.601370369486922	29.2295022059985	21.58125269182866		70.89831618829317	84.71254770258868	46.585825553216864	16.059250028322193	39.11340852130328	43.431167593773196	52.78932848467806
1958	41.328619006657924		52.53663254935204	47.25379432569934	28.3266427186823	26.884877748957383	39.37493715101722	36.12519626599572	32.52332866671058	30.490681088483957	33.25551886908012	29.406942124931742	23.610458471835265	41.84277989040066	75.46478516593127	73.99064834886482	53.63723619099072	13.981630139586395	40.08497601616868	39.75150683191906	66.70118856189328
1959	38.764352490206306		45.19849814596064	42.80235073560256	25.57109787863788	24.2728983591863	32.34089083227016	32.60945627272646	32.7322556670383	20.578783465528158	36.100295343286	31.40468703778776	18.07017771161804	43.70944223983186	71.42623425785416	86.65408708311547	41.8807089001116	15.902167660375074	45.132880529432256	34.67927160090846	55.4565135926487
1960	40.968459316244875	40.95323490773506	55.35067970960588	43.27222658779064	24.82370163614122	23.31454226661706	40.4870361651546	34.092426875315326	29.645113340765523	27.1374188431701	37.60679715706816	27.570471239101458	17.315864954591962	46.21724310181392	72.16849729821932	88.93016831087364	41.621360185688204	12.37729088702207	46.8884886395168	45.395187122128824	64.20143709657776
1961	43.12556838056943	40.36469538016614	49.858498646943836	41.97361049683032	32.57944028518046	29.608916785108157	36.75887658474646	45.8524139932065	41.00737490170192	26.618473176762063	44.78155652445666	36.4943993356151	21.76382558708114	48.53863958415444	78.756715101496	89.7286506235474	41.045705370820784	15.486341136425926	32.1970756250675	46.42852574352412	62.66763272855375
1962	46.034494309535305	45.28247708622498	52.38719647459934	49.24480358049916	34.821042719793844	32.78507274269985	49.72765267760746	44.942370268312615	40.8388773709696	30.804226646313964	40.07753149437614	37.25648010845398	25.659128127966984	56.50144397847159	70.01169458956346	81.07964959415413	44.093128445175395	18.01256037694014	49.53861814260044	52.780840349056255	64.84509141692675
